com.samsung.health.food_info,6201005,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
293.0,0.0,0.0,0.0,0.0,"315 kcal, 90 g당",,samsungosp-011005,90,71.0,2.97,1.89,2021-08-24 11:28:13.017,2021-08-24 11:28:13.017,0.0,6.84,0.0,1.0,현미밥,0.0,0.0,5.0,315.0,인분,,Hx51+uDVw3,g,0.0,0.0,com.sec.android.app.shealth,69.4,0.2857143,b6718e56-22f4-4c56-9bfa-8a98496c4826,1,
256.0,1.0,0.0,0.0,0.0,"353 kcal, 100 g당",,samsungosp-012011,100,4.0,3.09,0.64,2021-08-24 11:28:13.017,2021-08-24 11:28:13.017,0.01,7.8,0.06,2.0,잡곡밥,0.0,0.0,16.0,352.8,인분,,Hx51+uDVw3,g,0.03,0.0,com.sec.android.app.shealth,76.6,0.28344673,d190e9c5-db13-4a8f-aa04-a35cddeaa8dc,1,
83.0,1.0,0.0,0.0,0.0,"317 kcal, 90 g당",,samsungosp-011003,90,5.0,0.86,0.09,2021-08-24 11:28:13.016,2021-08-24 11:28:13.016,0.0,5.13,0.0,1.0,쌀밥,0.0,0.0,5.0,316.8,인분,,Hx51+uDVw3,g,0.0,0.0,com.sec.android.app.shealth,70.7,0.2840909,3cd56a08-9ffd-464a-9d5c-cae8009482c2,1,
180.0,29.0,8.0,0.0,0.0,"11 kcal, 60 g당",,samsungosp-141008,60,688.0,1.8,0.3,2021-08-24 11:28:13.022,2021-08-24 11:28:13.022,0.0,1.2,0.0,0.0,배추김치,0.0,0.0,28.0,10.8,인분,,Hx51+uDVw3,g,0.0,0.0,com.sec.android.app.shealth,2.3,5.5555553,3f6e6c8c-12a3-4758-8f83-dff129d8a1f6,1,
420.0,386.0,14.0,0.0,79.0,"445 kcal, 191 g당",,samsungosp-016001,190,662.0,3.31,12.765,2021-08-24 11:28:13.027,2021-08-24 11:28:13.027,2.93,10.656,4.41,3.0,김밥,0.0,0.0,42.0,444.8,인분,,Hx51+uDVw3,g,1.61,0.0,com.sec.android.app.shealth,71.2,0.4271583,5cff18dd-3901-44e6-91ef-c637b3553a50,1,
380.0,7.0,10.0,0.0,0.0,"80 kcal, 100 g당",,samsungosp-211016,100,2.0,1.8,0.2,2021-08-24 11:28:13.029,2021-08-24 11:28:13.029,0.0,1.2,0.0,1.0,바나나,0.0,0.0,4.0,80.0,인분,,Hx51+uDVw3,g,0.0,0.0,com.sec.android.app.shealth,21.1,1.25,2cf6316e-33d1-4fce-8a5a-ab5b76e2e38f,1,
385.0,159.0,1.0,0.0,240.0,"515 kcal, 169 g당",,samsungosp-031004,169,1252.0,3.66,20.599,2021-08-24 11:28:13.025,2021-08-24 11:28:13.025,2.19,15.992,0.8,2.0,라면,0.0,0.0,42.0,515.0,인분,,Hx51+uDVw3,g,1.57,0.0,com.sec.android.app.shealth,73.9,0.32815534,4cad914e-60b5-4313-aa98-bd7476027fa6,1,
60.0,0.0,0.0,0.0,0.0,"3 kcal, 100 g당",,samsungosp-203018,100,1.0,0.0,0.0,2021-08-24 11:28:13.034,2021-08-24 11:28:13.034,0.0,0.1,0.0,0.0,"커피,원두,블랙",0.0,0.0,2.0,3.0,인분,,Hx51+uDVw3,g,0.0,0.0,com.sec.android.app.shealth,0.4,33.333332,137c3c37-eacf-433b-ab40-f4492936b4eb,1,
72.0,18.0,0.0,0.0,7.0,"43 kcal, 115 g당",,samsungosp-203017,115,5.0,0.0,1.935,2021-08-24 11:28:13.032,2021-08-24 11:28:13.032,0.0,0.37,0.0,0.0,"커피,설탕,프림",0.0,0.0,12.0,42.8,인분,,Hx51+uDVw3,g,0.0,0.0,com.sec.android.app.shealth,5.8,2.6869159,17a8f4b6-2d30-4ce6-9ae0-e11a8cf7306b,1,
296.0,56.0,2.0,0.0,22.0,"120 kcal, 200 g당",,samsungosp-191005,200,110.0,0.0,6.4,2021-08-24 11:28:13.036,2021-08-24 11:28:13.036,1.82,6.4,0.22,0.0,우유,0.0,0.0,210.0,120.0,인분,,Hx51+uDVw3,g,4.34,0.0,com.sec.android.app.shealth,9.4,1.6666666,afb15a6c-7973-4f61-8de8-b9aabbcffa17,1,
